,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for: Face to Face discussions,The course materials on Canvas helped me prepare for: Quizzes,The course materials on Canvas helped me prepare for: Prelim/Mid-term/Final Exam,The course materials on Canvas helped me prepare for: Other Tasks,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to: Communicate with my instructor,Canvas has made it easy for me to: Receive class announcements,Canvas has made it easy for me to: Share ideas on group discussions,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the: Quizzes,"I find the course materials on Canvas aligned with the: Major (Prelim, Mideterm, Final) Exam",I find the course materials on Canvas aligned with the: Other tasks,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
1453,HIS C101- Readings in Philippine History,101A,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
1467,HIS C101- Readings in Philippine History,BSIT-101I,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,
1494,HIS C101- Readings in Philippine History,101G,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
1495,HIS C101- Readings in Philippine History,101G,12:00 AM,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,,,
1500,HIS C101- Readings in Philippine History,101f,09:00 AM,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,it can help me in exams.,"in this subject, the modules are too long to read and the words used sometimes are deep.",i would like to suggest a module which is easy to read.
1501,HIS C101- Readings in Philippine History,101 F,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
1517,HIS C101- Readings in Philippine History,BSTM102,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"what I like about canvas is, you can easily see the tasks, quizzes and other things that you need to do.","What I like least in canvas is, the limited time because sometimes when im answering quizzes, the given time is not enough to finish or accomplish answering it.","I would like to suggest, that they should extend the time limit where students can answer the whole thing."
1524,HIS C101- Readings in Philippine History,102I,12:00 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,,,
1528,HIS C101- Readings in Philippine History,BSA101A,12:00 PM,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,"So far, the accessibility with school WiFi is the only thing I liked in Canvas.","Seriously, the lessons for this subject that are uploaded in Canvas does not make sense at all. It's scrambled and scattered, it wasn't edited at all. It's really hard to read since there's no clear points just pure copy and paste system.","Please, put some bold headlines and bullet points for subheadings. Yes, it is our job to correct it too but we are paying high tuition fees for Canvas we don't deserve this kind of learning material."
1530,HIS C101- Readings in Philippine History,103 bstm,01:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
1533,HIS C101- Readings in Philippine History,103-TM,01:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,,
1534,HIS C101- Readings in Philippine History,103BSTM,02:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
1536,HIS C101- Readings in Philippine History,103,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,nothing,"quizzes, activities",
1537,HIS C101- Readings in Philippine History,101M,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Accessible,Hassle. Prone in cheating.,Less hassle
1562,HIS C101- Readings in Philippine History,101P,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The modules that I can use for advance study.,,
1563,HIS C101- Readings in Philippine History,101-F,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Easily to use,None,
1565,HIS C101- Readings in Philippine History,102-G,12:1 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,,,
1598,HIS C101- Readings in Philippine History,C101K,01:30 PM,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
1601,HIS C101- Readings in Philippine History,105x,10:30 AM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Easy to access,none,none
1606,HIS C101- Readings in Philippine History,102G,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,the canvas,the processing of the canvas,please use the canvas
1609,HIS C101- Readings in Philippine History,102-G,12:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
1613,HIS C101- Readings in Philippine History,102G,12:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,QUIZES,,
1614,HIS C101- Readings in Philippine History,105x,10:30 AM,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,It makes me comfortable to answer quizzes and seatworks because I like online activities.,Not UPDATED . Some quizzes are published LAST YEAR and its too bad to look in my dashboard.,Pls make the modules quite easy to understand beacuse we cannot memorize 19 pages of the module within just a minute. Do summarize. Do remember that we only have 9 SUBJECTS to attend with .
1626,HIS C101- Readings in Philippine History,C101M,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,it is organize,,
1627,HIS C101- Readings in Philippine History,BSTM -101,09:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I can advance readibg of my lessons,Easy send the activities,free data in using canvas because not all student here in jru always have internet
1631,HIS C101- Readings in Philippine History,BSTM1-1,09:30 AM,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Andvance lessons/modules,Gathered more information,None
1632,HIS C101- Readings in Philippine History,BSTM101,09:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,advance technology,advance learning,to make canvas a free use of data
1633,HIS C101- Readings in Philippine History,BSTM-1,09:00 AM,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
1634,HIS C101- Readings in Philippine History,101TM,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Submit the Assignment Easily,None,Always all Instructors alert for aanouncement of The Access code As soon as Possible
1635,HIS C101- Readings in Philippine History,BSTM1-1,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,,
1636,HIS C101- Readings in Philippine History,BSTM 101,09:00 AM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,i can easily acces it without the use of JRU Wifi,,
1637,HIS C101- Readings in Philippine History,BSTM101,09:00 AM,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,advance technology,advance learning,to make canvas as free use of data
1638,HIS C101- Readings in Philippine History,101k,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
1639,HIS C101- Readings in Philippine History,101TM,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I can prepared or study in advance for the lesson in our face to face session.,It can give us an advance knowledge.,The fast connection of jru wifi.
1641,HIS C101- Readings in Philippine History,bstm1-1,01:30 AM,Strongly Agree,Strongly Agree,Agree,Agree,,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,accessible and knowledgeable,forums are not announced in the to-do list.,to put the forums in the to do list
1643,HIS C101- Readings in Philippine History,101 M,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,,Disagree,none,the works are consecutive be given,discard canvas
1646,HIS C101- Readings in Philippine History,BSHM-CMGT101S,09:00 AM,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,The accessibility to access canvas easily anywhere anytime,None,None
1650,HIS C101- Readings in Philippine History,103TM,02:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
1651,HIS C101- Readings in Philippine History,BSTM-101,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Answering quizes,None,I don't have any suggestions
1652,HIS C101- Readings in Philippine History,103 A,03:00 PM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Its features and accessibility to every students.,"Whenever I have quizzes, even if the time is not yet done, it's already submitted.","To improve more features and to put ""insert file"" in every task each subjects."
1653,HIS C101- Readings in Philippine History,BSBA - 101M,01:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Easy to use,Nothing,Nothing
1654,HIS C101- Readings in Philippine History,BSTM1-1,09:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Easy access,Sometimes not easy to access or to use,Don't more focus on it
1658,HIS C101- Readings in Philippine History,201H,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
1660,HIS C101- Readings in Philippine History,101TM,01:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can review for the quizz ahead of time,,
1661,HIS C101- Readings in Philippine History,BSTM101,09:00 AM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Grading system,Time to answer,More time to answer
1665,HIS C101- Readings in Philippine History,Bstm-101,09:00 AM,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
1667,HIS C101- Readings in Philippine History,Bstm-101,09:25 AM,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,easy to access all the quizzes ang lectures.,not all the quizzes are notified,all the quizzes are notified
1669,HIS C101- Readings in Philippine History,Bstm 1 - 1,09:25 AM,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,None,None,None
1670,HIS C101- Readings in Philippine History,BSTM1-1,09:10 AM,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,it's easy to access with my professor,sometimes it's hard for me to open canvas because we don't have wifi in our home that's why sometimes I didn't answer on time my quizzes in canvas,none
1672,HIS C101- Readings in Philippine History,101TM,09:00 AM,Agree,Agree,,Disagree,,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,The modules are arranged well,Sometimes problems occur on using it,Canvas should be accesed easily
1673,HIS C101- Readings in Philippine History,BSTM1,09:10 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Im developing my skills to understand the lesson all alone.,Its provides me a completely notes in each subject.,Keep the canvas more better.
1675,HIS C101- Readings in Philippine History,BSTM 101,09:00 AM,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,The quizzes are answered here,If there is a low connection i cant access my canvas sometimes.,Notif every lesson for every week
1676,HIS C101- Readings in Philippine History,BSTM 1-1,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
1678,HIS C101- Readings in Philippine History,101TM,09:00 AM,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
1679,HIS C101- Readings in Philippine History,101-TM,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Accessible and easy to use.,Is the technical error when it comes to quizes,To update the app and continue the maintenance to avoid bugs and errors
1680,HIS C101- Readings in Philippine History,BSIT-101i,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,to view the assignments and quiz,reloading,i suggest to canvas can be used without wifi
1682,HIS C101- Readings in Philippine History,101 TM,09:00 AM,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,accessible,connection problem,make it more faster
1683,HIS C101- Readings in Philippine History,BSIT 101 I,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,You can easily pass your activities even at home,Some Quizzes are posted but don't have a code,I Would like to suggest for the canvas to have a notification or ringtone for us to remind about the activities to do
1684,HIS C101- Readings in Philippine History,BSTM1-101,09:00 AM,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
1687,HIS C101- Readings in Philippine History,BSTM 1-1,09:00 AM,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,I learn/study about the module,,
1688,HIS C101- Readings in Philippine History,101 TM,09:00 AM,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,Agree,Accessible.,Lectures are too long. No better interaction.,To have more organized Modules.
1689,HIS C101- Readings in Philippine History,101 TM,09:00 AM,Strongly Agree,Strongly Agree,,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
