First,Second,Third
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS'), ('quizzes', 'NNS')]","[('nothing', 'NN')]","[('nothing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('communication', 'NN'), ('modules', 'NNS'), ('read', 'VBP')]","[('lots', 'NNS'), ('activities', 'NNS')]","[('fix', 'JJ'), ('upload', 'NN'), ('file', 'NN'), ('working', 'VBG')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('good', 'JJ'), ('module', 'NN'), ('easier', 'JJR'), ('read', 'JJ'), ('understand', 'VBP'), ('people', 'NNS'), ('low', 'JJ'), ('reading', 'VBG'), ('comprehension', 'NN')]"
"[('design', 'NN')]","[('modules', 'NNS')]","[('hard', 'JJ'), ('copies', 'NNS')]"
"[('modules', 'NNS'), ('read', 'VBP'), ('anytime', 'RB')]","[('sometimes', 'RB'), ('submitt', 'JJ'), ('button', 'NN'), ('attached', 'VBN'), ('button', 'NN')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('short', 'JJ'), ('time', 'NN'), ('duration', 'NN')]","[('longer', 'JJR'), ('time', 'NN'), ('duration', 'NN'), ('test', 'NN'), ('quizzes', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('module', 'NN')]","[('dont', 'NN'), ('like', 'IN'), ('one', 'CD'), ('time', 'NN'), ('deadline', 'NN'), ('activities', 'NNS')]","[('make', 'NN'), ('time', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB')]","[('easily', 'RB')]","[('easily', 'RB')]"
"[('works', 'NNS'), ('time', 'NN'), ('anywhere', 'RB')]","[('anyone', 'NN')]","[('need', 'DT'), ('suggestion', 'NN'), ('already', 'RB'), ('full', 'JJ'), ('package', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
