First,Second,Third
"[('give', 'JJ'), ('time', 'NN'), ('pass', 'NN'), ('activities', 'NNS'), ('quizzes', 'VBZ'), ('canvas', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('access', 'NN'), ('anywhere', 'RB'), ('anytime', 'RB')]","[('actually', 'RB'), ('hate', 'JJ'), ('canvas', 'NN')]","[('please', 'VB'), ('give', 'VB'), ('us', 'PRP'), ('time', 'NN'), ('answer', 'VBZ'), ('quiz', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('due', 'JJ'), ('date', 'NN')]","[('nothing', 'NN')]","[('nothing', 'NN')]"
"[('nothing', 'NN')]","[('deadline', 'NN')]","[('online', 'NN'), ('works', 'VBZ'), ('rush', 'JJ'), ('deadline', 'NN'), ('thanks', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS'), ('easily', 'RB'), ('access', 'NN')]","[('forum', 'NN'), ('listed', 'VBD'), ('list', 'NN')]","[('put', 'VBN'), ('things', 'NNS'), ('list', 'VBP'), ('us', 'PRP'), ('able', 'JJ'), ('skip', 'JJ'), ('important', 'JJ'), ('thing', 'NN'), ('answer', 'NN')]"
"[('obe', 'NN'), ('also', 'RB'), ('announcement', 'NN'), ('know', 'JJ'), ('students', 'NNS'), ('task', 'JJ'), ('quizzes', 'NNS'), ('day', 'NN'), ('week', 'NN'), ('like', 'IN')]","[('chat', 'RB'), ('box', 'NN'), ('forums', 'NNS')]","[('suggestions', 'NNS'), ('time', 'NN'), ('encounter', 'NN'), ('problems', 'NNS'), ('little', 'JJ')]"
"[('manage', 'NN'), ('lesson', 'NN'), ('subjects', 'NNS')]","[('time', 'NN'), ('given', 'VBN'), ('every', 'DT'), ('quizzes', 'NN'), ('tests', 'NNS')]","[('extend', 'JJ'), ('time', 'NN'), ('every', 'DT'), ('quizzes', 'NN'), ('tasks', 'NNS'), ('time', 'NN'), ('limit', 'NN')]"
"[('assignments', 'NNS'), ('quizzes', 'NNS'), ('anytime', 'RB'), ('want', 'VBP')]","[('hard', 'JJ'), ('use', 'NN'), ('phone', 'NN')]","[('improvise', 'NN'), ('phone', 'NN')]"
"[('convenient', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('like', 'IN'), ('best', 'JJS'), ('canvas', 'NN'), ('advantages', 'NNS'), ('learning', 'VBG')]","[('give', 'JJ'), ('time', 'NN'), ('accomplish', 'JJ'), ('many', 'JJ'), ('activities', 'NNS'), ('canvas', 'VBP')]","[('put', 'NN'), ('code', 'NN'), ('quizzes', 'JJ'), ('time', 'NN'), ('limet', 'NN')]"
"[('answer', 'NN'), ('wherever', 'NN')]","[('neutral', 'JJ')]","[('notification', 'NN'), ('activity', 'NN'), ('quiz', 'VBP'), ('close', 'JJ'), ('sooner', 'NN')]"
"[('pass', 'NN'), ('easily', 'RB')]","[('access', 'NN')]","[('nothing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ')]","[('features', 'NNS'), ('present', 'VBP'), ('mobile', 'JJ'), ('app', 'NN')]","[('improvement', 'NN')]"
"[('answer', 'NN'), ('activities', 'NNS'), ('quizzes', 'VBZ'), ('etc', 'JJ'), ('outside', 'IN'), ('campus', 'NN')]","[('given', 'VBN'), ('schedule', 'NN'), ('canvas', 'NN'), ('appropriate', 'NN'), ('always', 'RB'), ('lock', 'VBZ'), ('task', 'NN'), ('given', 'VBN'), ('us', 'PRP'), ('even', 'RB'), ('due', 'JJ'), ('date', 'NN'), ('time', 'NN'), ('already', 'RB'), ('exact', 'JJ'), ('date', 'NN')]","[('nothing', 'NN')]"
"[('organized', 'VBN'), ('course', 'NN'), ('materials', 'NNS')]","[('none', 'NN')]","[('none', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('teacher', 'RB'), ('extend', 'JJ'), ('deadline', 'NN'), ('submission', 'NN'), ('activity', 'NN')]","[('canvas', 'NN')]","[('remove', 'VB'), ('canvas', 'NN'), ('want', 'VBP'), ('tradional', 'JJ'), ('way', 'NN'), ('learning', 'VBG')]"
"[('dont', 'NN'), ('like', 'IN'), ('canvas', 'NN')]","[('canvas', 'NN')]","[('remove', 'VB'), ('canvas', 'NN')]"
"[('give', 'VB'), ('us', 'PRP'), ('time', 'NN'), ('assignments', 'NNS')]","[('canvas', 'NN'), ('demanding', 'VBG'), ('file', 'NN'), ('read', 'NN'), ('transfer', 'NN'), ('file', 'NN'), ('another', 'DT'), ('type', 'NN'), ('file', 'NN'), ('canvas', 'NN'), ('read', 'NN')]","[('remove', 'VB'), ('canvas', 'NN')]"
"[('accessibility', 'NN')]","[('poor', 'JJ'), ('internet', 'NN'), ('connection', 'NN')]","[('faster', 'RBR'), ('better', 'JJR'), ('internet', 'NN'), ('connection', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS'), ('containing', 'VBG'), ('lessons', 'NNS'), ('every', 'DT'), ('course', 'NN'), ('except', 'IN'), ('modules', 'NNS'), ('often', 'RB'), ('come', 'VBP'), ('handy', 'JJ'), ('comes', 'VBZ'), ('face', 'JJ'), ('face', 'NN'), ('discussion', 'NN')]","[('error', 'NN'), ('lag', 'NN'), ('time', 'NN'), ('limit', 'NN')]","[('improvement', 'NN'), ('changes', 'NNS'), ('especially', 'RB'), ('issues', 'NNS'), ('error', 'VBP'), ('lag', 'JJ'), ('hassle', 'NN'), ('answering', 'VBG'), ('quiz', 'NN'), ('exam', 'NN')]"
"[('module', 'NN'), ('read', 'NN')]","[('like', 'IN'), ('canvas', 'NN'), ('quiz', 'NN'), ('prelim', 'JJ'), ('midterm', 'CD'), ('final', 'JJ')]","[('like', 'IN'), ('suggest', 'JJS'), ('improve', 'VB'), ('canvas', 'NN'), ('comes', 'VBZ'), ('quiz', 'JJ'), ('activities', 'NNS'), ('canvas', 'VBP')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('help', 'NN'), ('exams', 'VB')]","[('subject', 'JJ'), ('modules', 'NNS'), ('long', 'RB'), ('read', 'JJ'), ('words', 'NNS'), ('used', 'VBN'), ('sometimes', 'RB'), ('deep', 'JJ')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('module', 'NN'), ('easy', 'JJ'), ('read', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('like', 'IN'), ('canvas', 'NNS'), ('easily', 'RB'), ('see', 'VBP'), ('tasks', 'NNS'), ('quizzes', 'JJ'), ('things', 'NNS'), ('need', 'VBP')]","[('like', 'IN'), ('least', 'JJS'), ('canvas', 'NN'), ('limited', 'JJ'), ('time', 'NN'), ('sometimes', 'RB'), ('im', 'JJ'), ('answering', 'VBG'), ('quizzes', 'VB'), ('given', 'VBN'), ('time', 'NN'), ('enough', 'JJ'), ('finish', 'JJ'), ('accomplish', 'NN'), ('answering', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('extend', 'JJ'), ('time', 'NN'), ('limit', 'NN'), ('students', 'NNS'), ('answer', 'VBP'), ('whole', 'JJ'), ('thing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('far', 'RB'), ('accessibility', 'JJ'), ('school', 'NN'), ('wifi', 'JJ'), ('thing', 'NN'), ('liked', 'VBD'), ('canvas', 'NN')]","[('seriously', 'RB'), ('lessons', 'NNS'), ('subject', 'VBP'), ('uploaded', 'JJ'), ('canvas', 'NN'), ('make', 'VBP'), ('sense', 'NN'), ('scrambled', 'VBN'), ('scattered', 'VBD'), ('edited', 'VBN'), ('really', 'RB'), ('hard', 'JJ'), ('read', 'NN'), ('since', 'IN'), ('clear', 'JJ'), ('points', 'NNS'), ('pure', 'JJ'), ('copy', 'VBP'), ('paste', 'NN'), ('system', 'NN')]","[('please', 'NN'), ('put', 'VBD'), ('bold', 'JJ'), ('headlines', 'NNS'), ('bullet', 'NN'), ('points', 'NNS'), ('subheadings', 'NNS'), ('yes', 'RB'), ('job', 'NN'), ('correct', 'JJ'), ('paying', 'VBG'), ('high', 'JJ'), ('tuition', 'NN'), ('fees', 'NNS'), ('canvas', 'VBP'), ('deserve', 'VB'), ('kind', 'NN'), ('learning', 'VBG'), ('material', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('nothing', 'NN')]","[('quizzes', 'JJ'), ('activities', 'NNS')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ')]","[('hassle', 'NN'), ('prone', 'NN'), ('cheating', 'NN')]","[('less', 'RBR'), ('hassle', 'NN')]"
"[('modules', 'NNS'), ('use', 'VBP'), ('advance', 'NN'), ('study', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('use', 'NN')]","[('none', 'NN')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('canvas', 'NN')]","[('processing', 'NN'), ('canvas', 'NN')]","[('please', 'NN'), ('use', 'NN'), ('canvas', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('quizes', 'NNS')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('makes', 'VBZ'), ('comfortable', 'JJ'), ('answer', 'NN'), ('quizzes', 'VBZ'), ('seatworks', 'NNS'), ('like', 'IN'), ('online', 'NN'), ('activities', 'NNS')]","[('updated', 'VBN'), ('quizzes', 'NNS'), ('published', 'VBN'), ('last', 'JJ'), ('year', 'NN'), ('bad', 'JJ'), ('look', 'NN'), ('dashboard', 'NN')]","[('pls', 'NNS'), ('make', 'VBP'), ('modules', 'NNS'), ('quite', 'RB'), ('easy', 'JJ'), ('understand', 'JJ'), ('beacuse', 'NN'), ('can', 'MD'), ('not', 'RB'), ('memorize', 'VB'), ('19', 'CD'), ('pages', 'NNS'), ('module', 'NN'), ('within', 'IN'), ('minute', 'NN'), ('summarize', 'VBP'), ('remember', 'VB'), ('9', 'CD'), ('subjects', 'NNS'), ('attend', 'VBP')]"
"[('organize', 'VB')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('advance', 'NN'), ('readibg', 'NN'), ('lessons', 'NNS')]","[('easy', 'JJ'), ('send', 'NN'), ('activities', 'NNS')]","[('free', 'JJ'), ('data', 'NNS'), ('using', 'VBG'), ('canvas', 'JJ'), ('student', 'NN'), ('jru', 'NN'), ('always', 'RB'), ('internet', 'NN')]"
"[('andvance', 'NN'), ('lessons', 'NNS'), ('modules', 'NNS')]","[('gathered', 'VBN'), ('information', 'NN')]","[('none', 'NN')]"
"[('advance', 'NN'), ('technology', 'NN')]","[('advance', 'NN'), ('learning', 'NN')]","[('make', 'VB'), ('canvas', 'NN'), ('free', 'JJ'), ('use', 'NN'), ('data', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('submit', 'NN'), ('assignment', 'NN'), ('easily', 'RB')]","[('none', 'NN')]","[('always', 'RB'), ('instructors', 'NNS'), ('alert', 'VBP'), ('aanouncement', 'JJ'), ('access', 'NN'), ('code', 'NN'), ('soon', 'RB'), ('possible', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('acces', 'NNS'), ('without', 'IN'), ('use', 'NN'), ('jru', 'NN'), ('wifi', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('advance', 'NN'), ('technology', 'NN')]","[('advance', 'NN'), ('learning', 'NN')]","[('make', 'VB'), ('canvas', 'NN'), ('free', 'JJ'), ('use', 'NN'), ('data', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('prepared', 'JJ'), ('study', 'NN'), ('advance', 'NN'), ('lesson', 'NN'), ('face', 'NN'), ('face', 'NN'), ('session', 'NN')]","[('give', 'VB'), ('us', 'PRP'), ('advance', 'VB'), ('knowledge', 'NN')]","[('fast', 'JJ'), ('connection', 'NN'), ('jru', 'NN'), ('wifi', 'NN')]"
"[('accessible', 'JJ'), ('knowledgeable', 'JJ')]","[('forums', 'NNS'), ('announced', 'VBD'), ('list', 'NN')]","[('put', 'NN'), ('forums', 'NNS'), ('list', 'NN')]"
"[('none', 'NN')]","[('works', 'NNS'), ('consecutive', 'JJ'), ('given', 'VBN')]","[('discard', 'NN'), ('canvas', 'NN')]"
"[('accessibility', 'NN'), ('access', 'NN'), ('canvas', 'NN'), ('easily', 'RB'), ('anywhere', 'RB'), ('anytime', 'JJ')]","[('none', 'NN')]","[('none', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('answering', 'VBG'), ('quizes', 'NNS')]","[('none', 'NN')]","[('suggestions', 'NNS')]"
"[('features', 'NNS'), ('accessibility', 'NN'), ('every', 'DT'), ('students', 'NNS')]","[('whenever', 'NN'), ('quizzes', 'VBZ'), ('even', 'RB'), ('time', 'NN'), ('yet', 'RB'), ('done', 'VBN'), ('already', 'RB'), ('submitted', 'VBN')]","[('improve', 'VB'), ('features', 'NNS'), ('put', 'VB'), ('insert', 'RB'), ('file', 'NN'), ('every', 'DT'), ('task', 'NN'), ('subjects', 'NNS')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('nothing', 'NN')]","[('nothing', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('sometimes', 'RB'), ('easy', 'JJ'), ('access', 'NN'), ('use', 'NN')]","[('focus', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('review', 'NN'), ('quizz', 'NN'), ('ahead', 'RB'), ('time', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('grading', 'VBG'), ('system', 'NN')]","[('time', 'NN'), ('answer', 'NN')]","[('time', 'NN'), ('answer', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('access', 'NN'), ('quizzes', 'NNS'), ('ang', 'VBP'), ('lectures', 'NNS')]","[('quizzes', 'NNS'), ('notified', 'VBD')]","[('quizzes', 'NNS'), ('notified', 'VBD')]"
"[('none', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN'), ('professor', 'NN')]","[('sometimes', 'RB'), ('hard', 'JJ'), ('open', 'JJ'), ('canvas', 'NN'), ('wifi', 'NN'), ('home', 'NN'), ('sometimes', 'RB'), ('answer', 'JJ'), ('time', 'NN'), ('quizzes', 'VBZ'), ('canvas', 'NN')]","[('none', 'NN')]"
"[('modules', 'NNS'), ('arranged', 'VBN'), ('well', 'RB')]","[('sometimes', 'RB'), ('problems', 'NNS'), ('occur', 'VBP'), ('using', 'VBG')]","[('canvas', 'NN'), ('accesed', 'VBD'), ('easily', 'RB')]"
"[('im', 'JJ'), ('developing', 'VBG'), ('skills', 'NNS'), ('understand', 'VBP'), ('lesson', 'NN'), ('alone', 'RB')]","[('provides', 'VBZ'), ('completely', 'RB'), ('notes', 'NNS'), ('subject', 'VBP')]","[('keep', 'VB'), ('canvas', 'NN'), ('better', 'RBR')]"
"[('quizzes', 'NNS'), ('answered', 'VBD')]","[('low', 'JJ'), ('connection', 'NN'), ('cant', 'NN'), ('access', 'NN'), ('canvas', 'NN'), ('sometimes', 'RB')]","[('notif', 'RB'), ('every', 'DT'), ('lesson', 'NN'), ('every', 'DT'), ('week', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ'), ('easy', 'JJ'), ('use', 'NN')]","[('technical', 'JJ'), ('error', 'NN'), ('comes', 'VBZ'), ('quizes', 'NNS')]","[('update', 'JJ'), ('app', 'NN'), ('continue', 'VBP'), ('maintenance', 'NN'), ('avoid', 'NN'), ('bugs', 'NNS'), ('errors', 'NNS')]"
"[('view', 'NN'), ('assignments', 'NNS'), ('quiz', 'NN')]","[('reloading', 'VBG')]","[('suggest', 'JJS'), ('canvas', 'NN'), ('used', 'VBN'), ('without', 'IN'), ('wifi', 'NN')]"
"[('accessible', 'JJ')]","[('connection', 'NN'), ('problem', 'NN')]","[('make', 'NN'), ('faster', 'NN')]"
"[('easily', 'RB'), ('pass', 'NN'), ('activities', 'NNS'), ('even', 'RB'), ('home', 'VBP')]","[('quizzes', 'NNS'), ('posted', 'VBD'), ('code', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('canvas', 'NN'), ('notification', 'NN'), ('ringtone', 'VBP'), ('us', 'PRP'), ('remind', 'VB'), ('activities', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('learn', 'NN'), ('study', 'NN'), ('module', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ')]","[('lectures', 'NNS'), ('long', 'RB'), ('better', 'RB'), ('interaction', 'NN')]","[('organized', 'VBN'), ('modules', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('convenience', 'NN'), ('using', 'VBG'), ('app', 'JJ'), ('reading', 'NN'), ('modules', 'NNS')]","[('deadline', 'NN')]","[('neutral', 'JJ')]"
"[('advance', 'NN'), ('reading', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('none', 'NN')]","[('none', 'NN')]","[('please', 'VB'), ('let', 'VB'), ('prof', 'JJ'), ('discuss', 'VB'), ('inside', 'IN'), ('modules', 'NNS'), ('canvas', 'VBP'), ('always', 'RB'), ('make', 'VBP'), ('us', 'PRP'), ('read', 'VB'), ('discuss', 'NNS'), ('know', 'JJ'), ('students', 'NNS'), ('good', 'JJ'), ('listening', 'VBG'), ('reading', 'VBG'), ('please', 'NN'), ('let', 'VB'), ('discuss', 'VB')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('modules', 'NNS'), ('activities', 'NNS'), ('na', 'VBP'), ('quiz', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('time', 'NN'), ('answere', 'WRB'), ('task', 'NN')]","[('using', 'VBG'), ('internet', 'NN')]","[('proffesor', 'NN'), ('must', 'MD'), ('summary', 'VB'), ('everything', 'NN'), ('hard', 'JJ'), ('students', 'NNS'), ('read', 'VBP'), ('read', 'VB')]"
"[('like', 'IN'), ('best', 'JJS'), ('accessible', 'JJ'), ('times', 'NNS'), ('difference', 'NN'), ('face', 'NN'), ('face', 'NN'), ('learning', 'VBG')]","[('nothing', 'NN'), ('far', 'RB')]","[('like', 'IN'), ('suggest', 'JJS'), ('put', 'VBN'), ('animation', 'NN'), ('color', 'NN'), ('make', 'VBP'), ('students', 'NNS'), ('get', 'VB'), ('attracted', 'VBN'), ('open', 'JJ'), ('frequently', 'RB')]"
"[('accessible', 'JJ')]","[('none', 'NN')]","[('none', 'NN')]"
"[('advance', 'NN'), ('reading', 'NN'), ('learning', 'VBG'), ('topic', 'NNS'), ('easily', 'RB'), ('access', 'NN'), ('canvas', 'NN')]","[('enough', 'JJ'), ('time', 'NN'), ('prof', 'VB'), ('given', 'VBN'), ('us', 'PRP'), ('quiz', 'JJ'), ('activities', 'NNS')]","[('expand', 'NN'), ('time', 'NN'), ('give', 'VB'), ('us', 'PRP'), ('answering', 'VBG'), ('quiz', 'JJ'), ('activities', 'NNS')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('early', 'RB'), ('due', 'JJ'), ('date', 'NN')]","[('neutral', 'JJ')]"
"[('advance', 'NN'), ('reading', 'NN'), ('interesting', 'NN')]","[('gathered', 'VBN'), ('ideas', 'NNS')]","[('continue', 'NN'), ('updates', 'VBZ'), ('announcement', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('advance', 'NN'), ('reading', 'NN')]","[('gathered', 'VBN'), ('ideas', 'NNS')]","[('neutral', 'JJ')]"
"[('submission', 'NN'), ('activity', 'NN'), ('online', 'NN')]","[('online', 'NN'), ('modules', 'NNS')]","[('neutral', 'JJ')]"
"[('read', 'JJ'), ('topics', 'NNS'), ('everywhere', 'RB')]","[('modules', 'NNS')]","[('give', 'JJ'), ('time', 'NN'), ('answering', 'VBG'), ('quizzes', 'NNS')]"
"[('modules', 'NNS'), ('discussions', 'NNS')]","[('codes', 'NNS'), ('due', 'JJ'), ('dates', 'NNS')]","[('post', 'NN'), ('codes', 'NNS'), ('together', 'RB'), ('quiz', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('credible', 'JJ')]","[('none', 'NN')]","[('would', 'MD'), ('precise', 'VB'), ('deliberation', 'NN'), ('announcements', 'NNS'), ('clear', 'JJ'), ('explanation', 'NN'), ('regards', 'NNS'), ('assignments', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('somehow', 'RB'), ('useful', 'JJ')]","[('help', 'NN')]","[('fix', 'NN'), ('problem', 'NN'), ('like', 'IN'), ('assignments', 'NNS'), ('others', 'NNS'), ('especially', 'RB'), ('module', 'VB')]"
"[('easy', 'JJ'), ('access', 'NN'), ('materials', 'NNS'), ('provided', 'VBD'), ('face', 'NN'), ('face', 'NN'), ('discussion', 'NN')]","[('buttons', 'NNS'), ('like', 'IN'), ('submission', 'NN'), ('button', 'NN'), ('sometimes', 'RB'), ('seen', 'VBN'), ('desktop', 'NN'), ('mobile', 'NN'), ('app', 'NN')]","[('professor', 'NN'), ('discuss', 'NN'), ('topics', 'NNS'), ('related', 'JJ'), ('modules', 'NNS'), ('provided', 'VBN'), ('also', 'RB'), ('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('modules', 'NNS'), ('readable', 'JJ'), ('well', 'RB'), ('organized', 'VBN'), ('template', 'NN'), ('hope', 'NN'), ('research', 'NN'), ('essay', 'VBP'), ('type', 'JJ'), ('material', 'NN')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('enough', 'JJ'), ('time', 'NN'), ('take', 'VB'), ('quiz', 'NN')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('submit', 'NN'), ('activities', 'NNS')]","[('hard', 'JJ'), ('communicate', 'NN'), ('instructure', 'NN')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('nothing', 'NN')]","[('nothing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('access', 'NN'), ('anywhere', 'RB'), ('anytime', 'RB')]","[('canvas', 'NN'), ('notify', 'JJ'), ('time', 'NN'), ('visit', 'NN'), ('check', 'NN'), ('list', 'NN')]","[('instruction', 'NN'), ('must', 'MD'), ('clearer', 'VB'), ('notify', 'VB')]"
"[('ample', 'JJ'), ('time', 'NN'), ('given', 'VBN'), ('us', 'PRP')]","[('access', 'NN'), ('mobile', 'JJ'), ('website', 'NN'), ('locked', 'VBD'), ('time', 'NN')]","[('remove', 'VB'), ('locked', 'JJ'), ('time', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN'), ('experience', 'NN'), ('hard', 'JJ'), ('time', 'NN'), ('logging', 'VBG'), ('canvas', 'JJ'), ('aside', 'RB'), ('helps', 'VBZ'), ('us', 'PRP'), ('student', 'JJ'), ('productive', 'JJ'), ('class', 'NN'), ('online', 'NN'), ('modules', 'NNS'), ('provided', 'VBD'), ('advance', 'NN'), ('readings', 'NNS'), ('face', 'VBP'), ('face', 'NN'), ('discussion', 'NN')]","[('like', 'IN'), ('canvas', 'NN'), ('find', 'VBP'), ('really', 'RB'), ('hard', 'JJ'), ('manage', 'NN'), ('navigation', 'NN'), ('course', 'NN'), ('desktop', 'JJ'), ('version', 'NN'), ('unorganized', 'JJ'), ('tricky', 'NN'), ('unlike', 'IN'), ('use', 'NN'), ('mobile', 'NN'), ('phone', 'NN')]","[('make', 'VB'), ('desktop', 'JJ'), ('version', 'NN'), ('organized', 'VBN'), ('said', 'VBD'), ('really', 'RB'), ('tricky', 'JJ'), ('use', 'NN')]"
"[('like', 'IN'), ('canvas', 'NN'), ('easy', 'JJ'), ('answer', 'NN'), ('quizzes', 'NNS')]","[('easy', 'JJ'), ('login', 'NN')]","[('like', 'IN')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('sometimes', 'RB'), ('make', 'VB'), ('notifications', 'NNS')]","[('calendar', 'NN'), ('activities', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('lessons', 'NNS'), ('canvas', 'VBP')]","[('announcements', 'NNS'), ('submissions', 'NNS')]","[('forums', 'JJ'), ('activities', 'NNS'), ('open', 'VBP'), ('deadline', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('access', 'NN'), ('answer', 'NN'), ('review', 'NN'), ('anytime', 'RB'), ('anywhere', 'RB')]","[('students', 'NNS'), ('wifi', 'VBP'), ('internet', 'JJ'), ('connections', 'NNS'), ('home', 'NN')]","[('nothing', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('canvas', 'NN'), ('accessible', 'JJ'), ('convenient', 'NN'), ('resourceful', 'NN')]","[('canvas', 'NN'), ('lot', 'NN'), ('canvas', 'NN'), ('sometimes', 'RB'), ('easily', 'RB'), ('access', 'NN'), ('jru', 'NN'), ('wifi', 'NN')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('canvas', 'NN'), ('accessed', 'VBD'), ('without', 'IN'), ('use', 'NN'), ('wifi', 'NN'), ('data', 'NNS')]"
"[('accessible', 'JJ'), ('convenient', 'NN')]","[('issue', 'NN')]","[('suggestion', 'NN')]"
